date,soe,total_arrivals,arrivals_male,arrivals_female
2024-01-01,Pahang,556,313,243
2024-01-01,Perak,16969,7976,8993
2024-01-01,Perlis,58898,35138,23760
2024-01-01,Pulau Pinang,98132,44646,53486
2024-01-01,Sabah,67279,29696,37583
2024-01-01,Sarawak,176310,95746,80564
2024-01-01,Selangor,825945,452257,373688
2024-01-01,Terengganu,15,15,0
2024-01-01,W.P. Labuan,1412,958,454
2024-02-01,Johor,1389651,768268,621383
2024-02-01,Kedah,104399,56535,47864
2024-02-01,Kelantan,56124,28910,27214
2024-02-01,Melaka,3291,1479,1812
2024-02-01,Negeri Sembilan,4411,2567,1844
2024-02-01,Pahang,714,367,347
2024-02-01,Perak,19533,9124,10409
2024-02-01,Perlis,58854,33724,25130
2024-02-01,Pulau Pinang,88273,41291,46982
2024-02-01,Sabah,68963,30981,37982
2024-02-01,Sarawak,190621,101221,89400
2024-02-01,Selangor,804850,430744,374106
2024-02-01,Terengganu,24,15,9
2024-02-01,W.P. Labuan,2576,1590,986
2024-03-01,Johor,1882339,1010380,871959
2024-03-01,Kedah,101507,55998,45509
2024-03-01,Kelantan,61724,30496,31228
2024-03-01,Melaka,3074,1413,1661
2024-03-01,Negeri Sembilan,4954,2816,2138
2024-03-01,Pahang,1111,614,497
2024-03-01,Perak,22246,10455,11791
2024-03-01,Perlis,59513,34402,25111
2024-03-01,Pulau Pinang,124257,57580,66677
2024-03-01,Sabah,50964,21968,28996
2024-03-01,Sarawak,214777,112393,102384
2024-03-01,Selangor,725189,397969,327220
2024-03-01,Terengganu,16,10,6
2024-03-01,W.P. Labuan,1590,1040,550
2024-04-01,Johor,1637745,912098,725647
2024-04-01,Kedah,68372,36233,32139
2024-04-01,Kelantan,55767,27666,28101
2024-04-01,Melaka,4776,2122,2654
2024-04-01,Negeri Sembilan,5204,3169,2035
2024-04-01,Pahang,695,377,318
2024-04-01,Perak,19059,8806,10253
2024-04-01,Perlis,55692,31206,24486
2024-04-01,Pulau Pinang,85610,39921,45689
2024-04-01,Sabah,39348,17643,21705
2024-04-01,Sarawak,231503,122358,109145
2024-04-01,Selangor,728498,392344,336154
2024-04-01,Terengganu,21,5,16
2024-04-01,W.P. Labuan,1962,1161,801
2024-05-01,Johor,1793130,988447,804683
2024-05-01,Kedah,88882,46709,42173
2024-05-01,Kelantan,57354,29172,28182
2024-05-01,Melaka,3982,1770,2212
2024-05-01,Negeri Sembilan,9700,6429,3271
2024-05-01,Pahang,1123,632,491
2024-05-01,Perak,16818,7779,9039
2024-05-01,Perlis,51422,29370,22052
2024-05-01,Pulau Pinang,99646,46644,53002
2024-05-01,Sabah,47592,21425,26167
2024-05-01,Sarawak,207635,114235,93400
2024-05-01,Selangor,819542,478907,340635
2024-05-01,Terengganu,1,1,0
2024-05-01,W.P. Labuan,2043,1209,834
2024-06-01,Johor,2077267,1112617,964650
2024-06-01,Kedah,72074,37301,34773
2024-06-01,Kelantan,51685,25848,25837
2024-06-01,Melaka,5367,2433,2934
2024-06-01,Negeri Sembilan,7176,4300,2876
2024-06-01,Pahang,1226,666,560
2024-06-01,Perak,20088,9419,10669
2024-06-01,Perlis,52325,29122,23203
2024-06-01,Pulau Pinang,112060,51518,60542
2024-06-01,Sabah,59708,26005,33703
2024-06-01,Sarawak,205241,108896,96345
2024-06-01,Selangor,853615,445853,407762
2024-06-01,Terengganu,5,5,0
2024-06-01,W.P. Labuan,1595,1049,546
2024-07-01,Johor,1944790,1058351,886439
2024-07-01,Kedah,77367,40407,36960
2024-07-01,Kelantan,52115,26448,25667
2024-07-01,Melaka,3801,1738,2063
2024-07-01,Negeri Sembilan,6692,4141,2551
2024-07-01,Pahang,856,471,385
2024-07-01,Perak,18212,8244,9968
2024-07-01,Perlis,54641,30867,23774
2024-07-01,Pulau Pinang,113961,51997,61964
2024-07-01,Sabah,70638,30896,39742
2024-07-01,Sarawak,211977,113645,98332
2024-07-01,Selangor,971964,494031,477933
2024-07-01,Terengganu,2,1,1
2024-07-01,W.P. Labuan,1327,850,477
2024-08-01,Johor,2094522,1140988,953534
2024-08-01,Kedah,81258,42183,39075
2024-08-01,Kelantan,53854,26998,26856
2024-08-01,Melaka,2887,1303,1584
2024-08-01,Negeri Sembilan,6762,4012,2750
2024-08-01,Pahang,851,465,386
2024-08-01,Perak,17423,8026,9397
2024-08-01,Perlis,55128,30653,24475
2024-08-01,Pulau Pinang,115088,53260,61828
2024-08-01,Sabah,79734,34884,44850
2024-08-01,Sarawak,237740,126255,111485
2024-08-01,Selangor,1023369,522407,500962
2024-08-01,W.P. Labuan,2216,1337,879
2024-09-01,Johor,1928709,1057654,871055
2024-09-01,Kedah,62025,32300,29725
2024-09-01,Kelantan,49953,25047,24906
2024-09-01,Melaka,3747,1720,2027
2024-09-01,Negeri Sembilan,6573,3699,2874
2024-09-01,Pahang,860,454,406
2024-09-01,Perak,15831,7166,8665
2024-09-01,Perlis,55072,30607,24465
2024-09-01,Pulau Pinang,99052,46944,52108
2024-09-01,Sabah,55672,24101,31571
2024-09-01,Sarawak,171738,92541,79197
2024-09-01,Selangor,777885,423626,354259
2024-09-01,W.P. Labuan,1555,1078,477
2024-10-01,Johor,1841017,1015265,825752
2024-10-01,Kedah,62119,32829,29290
2024-10-01,Kelantan,49330,23946,25384
2024-10-01,Melaka,3497,1638,1859
2024-10-01,Negeri Sembilan,5109,2943,2166
2024-10-01,Pahang,937,554,383
2024-10-01,Perak,14155,6432,7723
2024-10-01,Perlis,58045,30079,27966
2024-10-01,Pulau Pinang,100650,46659,53991
2024-10-01,Sabah,44282,19827,24455
2024-10-01,Sarawak,150799,83570,67229
2024-10-01,Selangor,768771,415016,353755
2024-10-01,Terengganu,7,4,3
2024-10-01,W.P. Labuan,1089,772,317
